id,gender_rate
1,31
2,31
3,31
4,31
5,31
6,31
7,31
8,31
9,31
10,127
11,127
12,127
13,127
14,127
15,127
16,127
17,127
18,127
19,127
20,127
21,127
22,127
23,127
24,127
25,127
26,127
27,127
28,127
29,254
30,254
31,254
32,0
33,0
34,0
35,191
36,191
37,191
38,191
39,191
40,191
41,127
42,127
43,127
44,127
45,127
46,127
47,127
48,127
49,127
50,127
51,127
52,127
53,127
54,127
55,127
56,127
57,127
58,63
59,63
60,127
61,127
62,127
63,63
64,63
65,63
66,63
67,63
68,63
69,127
70,127
71,127
72,127
73,127
74,127
75,127
76,127
77,127
78,127
79,127
80,127
81,255
82,255
83,127
84,127
85,127
86,127
87,127
88,127
89,127
90,127
91,127
92,127
93,127
94,127
95,127
96,127
97,127
98,127
99,127
100,255
101,255
102,127
103,127
104,127
105,127
106,0
107,0
108,127
109,127
110,127
111,127
112,127
113,254
114,127
115,254
116,127
117,127
118,127
119,127
120,255
121,255
122,127
123,127
124,254
125,63
126,63
127,127
128,0
129,127
130,127
131,127
132,255
133,31
134,31
135,31
136,31
137,255
138,31
139,31
140,31
141,31
142,31
143,31
144,255
145,255
146,255
147,127
148,127
149,127
150,255
151,255
152,31
153,31
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,127
162,127
163,127
164,127
165,127
166,127
167,127
168,127
169,127
170,127
171,127
172,127
173,191
174,191
175,31
176,31
177,127
178,127
179,127
180,127
181,127
182,127
183,127
184,127
185,127
186,127
187,127
188,127
189,127
190,127
191,127
192,127
193,127
194,127
195,127
196,31
197,31
198,127
199,127
200,127
201,255
202,127
203,127
204,127
205,127
206,127
207,127
208,127
209,191
210,191
211,127
212,127
213,127
214,127
215,127
216,127
217,127
218,127
219,127
220,127
221,127
222,191
223,127
224,127
225,127
226,127
227,127
228,127
229,127
230,127
231,127
232,127
233,255
234,127
235,127
236,0
237,0
238,254
239,63
240,63
241,254
242,254
243,255
244,255
245,255
246,127
247,127
248,127
249,255
250,255
251,255
252,31
253,31
254,31
255,31
256,31
257,31
258,31
259,31
260,31
261,127
262,127
263,127
264,127
265,127
266,127
267,127
268,127
269,127
270,127
271,127
272,127
273,127
274,127
275,127
276,127
277,127
278,127
279,127
280,127
281,127
282,127
283,127
284,127
285,127
286,127
287,127
288,127
289,127
290,127
291,127
292,255
293,127
294,127
295,127
296,63
297,63
298,191
299,127
300,191
301,191
302,127
303,127
304,127
305,127
306,127
307,127
308,127
309,127
310,127
311,127
312,127
313,0
314,254
315,127
316,127
317,127
318,127
319,127
320,127
321,127
322,127
323,127
324,127
325,127
326,127
327,127
328,127
329,127
330,127
331,127
332,127
333,127
334,127
335,127
336,127
337,255
338,255
339,127
340,127
341,127
342,127
343,255
344,255
345,31
346,31
347,31
348,31
349,127
350,127
351,127
352,127
353,127
354,127
355,127
356,127
357,127
358,127
359,127
360,127
361,127
362,127
363,127
364,127
365,127
366,127
367,127
368,127
369,31
370,191
371,127
372,127
373,127
374,255
375,255
376,255
377,255
378,255
379,255
380,254
381,0
382,255
383,255
384,255
385,255
386,255
387,31
388,31
389,31
390,31
391,31
392,31
393,31
394,31
395,31
396,127
397,127
398,127
399,127
400,127
401,127
402,127
403,127
404,127
405,127
406,127
407,127
408,31
409,31
410,31
411,31
412,127
413,254
414,0
415,31
416,254
417,127
418,127
419,127
420,127
421,127
422,127
423,127
424,127
425,127
426,127
427,127
428,127
429,127
430,127
431,191
432,191
433,127
434,127
435,127
436,255
437,255
438,127
439,127
440,254
441,127
442,127
443,127
444,127
445,127
446,31
447,31
448,31
449,127
450,127
451,127
452,127
453,127
454,127
455,127
456,127
457,127
458,127
459,127
460,127
461,127
462,255
463,127
464,127
465,127
466,63
467,63
468,31
469,127
470,31
471,31
472,127
473,127
474,255
475,0
476,127
477,127
478,254
479,255
480,255
481,255
482,255
483,255
484,255
485,127
486,255
487,255
488,254
489,255
490,255
491,255
492,255
493,255
494,255
495,31
496,31
497,31
498,31
499,31
500,31
501,31
502,31
503,31
504,127
505,127
506,127
507,127
508,127
509,127
510,127
511,31
512,31
513,31
514,31
515,31
516,31
517,127
518,127
519,127
520,127
521,127
522,127
523,127
524,127
525,127
526,127
527,127
528,127
529,127
530,127
531,127
532,63
533,63
534,63
535,127
536,127
537,127
538,0
539,0
540,127
541,127
542,127
543,127
544,127
545,127
546,127
547,127
548,254
549,254
550,127
551,127
552,127
553,127
554,127
555,127
556,127
557,127
558,127
559,127
560,127
561,127
562,127
563,127
564,31
565,31
566,31
567,31
568,127
569,127
570,31
571,31
572,191
573,191
574,191
575,191
576,191
577,127
578,127
579,127
580,127
581,127
582,127
583,127
584,127
585,127
586,127
587,127
588,127
589,127
590,127
591,127
592,127
593,127
594,127
595,127
596,127
597,127
598,127
599,255
600,255
601,255
602,127
603,127
604,127
605,127
606,127
607,127
608,127
609,127
610,127
611,127
612,127
613,127
614,127
615,255
616,127
617,127
618,127
619,127
620,127
621,127
622,255
623,255
624,127
625,127
626,127
627,0
628,0
629,254
630,254
631,127
632,127
633,127
634,127
635,127
636,127
637,127
638,255
639,255
640,255
641,0
642,0
643,255
644,255
645,0
646,255
647,255
648,255
649,255
650,31
651,31
652,31
653,31
654,31
655,31
656,31
657,31
658,31
659,127
660,127
661,127
662,127
663,127
664,127
665,127
666,127
667,127
668,127
669,254
670,254
671,254
672,127
673,127
674,127
675,127
676,127
677,127
678,127
679,127
680,127
681,127
682,127
683,127
684,127
685,127
686,127
687,127
688,127
689,127
690,127
691,127
692,127
693,127
694,127
695,127
696,31
697,31
698,31
699,31
700,31
701,127
702,127
703,255
704,127
705,127
706,127
707,127
708,127
709,127
710,127
711,127
712,127
713,127
714,127
715,127
716,255
717,255
718,255